,Date,LXF00,LXJ00,LXG00,LXK00,LXH00,LXM00,LXN00,LXQ00,LXU00,LXV00,LXX00,LXZ00,LXF01,LXG01,LXH01,LXJ01,LXK01,LXM01,LXN01,LXQ01,LXU01,LXV01,LXX01,LXZ01,LXF02,LXG02,LXH02,LXJ02,LXK02,LXM02,LXN02,LXQ02,LXU02,LXV02,LXX02,LXZ02,LXF03,LXG03,LXH03,LXJ03,LXK03,LXM03,LXN03,LXQ03,LXU03,LXV03,LXX03,LXZ03,LXF04,LXG04,LXH04,LXJ04,LXK04,LXM04,LXN04,LXQ04,LXU04,LXV04,LXX04,LXZ04,LXF05,LXG05,LXH05,LXJ05,LXK05,LXM05,LXN05,LXQ05,LXU05,LXV05,LXX05,LXZ05,LXF06,LXG06,LXH06,LXJ06,LXK06,LXM06,LXN06,LXQ06,LXU06,LXV06,LXX06,LXZ06,LXF07,LXG07,LXH07,LXJ07,LXK07,LXM07,LXN07,LXQ07,LXU07,LXV07,LXX07,LXZ07,LXF08,LXG08,LXH08,LXJ08,LXK08,LXM08,LXN08,LXQ08,LXU08,LXV08,LXX08,LXZ08,LXF09,LXG09,LXH09,LXJ09,LXK09,LXM09,LXN09,LXQ09,LXU09,LXV09,LXX09,LXZ09,LXF10,LXG10,LXH10,LXJ10,LXK10,LXM10,LXN10,LXQ10,LXU10,LXV10,LXX10,LXZ10,LXF11,LXG11,LXH11,LXJ11,LXK11,LXM11,LXN11,LXQ11,LXU11,LXV11,LXX11,LXZ11,LXF12,LXG12,LXH12,LXJ12,LXK12,LXM12,LXN12,LXQ12,LXU12,LXV12,LXX12,LXZ12,LXF13,LXG13,LXH13,LXJ13,LXK13,LXM13,LXN13,LXQ13,LXU13,LXV13,LXX13,LXZ13,LXF14,LXG14,LXH14,LXJ14,LXK14,LXM14,LXN14,LXQ14,LXU14,LXV14,LXX14,LXZ14,LXF15,LXG15,LXH15,LXJ15,LXK15,LXM15,LXN15,LXQ15,LXU15,LXV15,LXX15,LXZ15,LXF16,LXG16,LXH16,LXJ16,LXK16,LXM16,LXN16,LXQ16,LXU16,LXV16,LXX16,LXZ16,LXF17,LXG17,LXH17,LXJ17,LXK17,LXM17,LXN17,LXQ17,LXU17,LXV17,LXX17,LXZ17,LXF18,LXG18,LXH18,LXJ18,LXK18,LXM18,LXN18,LXQ18,LXU18,LXV18,LXX18,LXZ18,LXF19,LXG19,LXH19,LXJ19,LXK19,LXM19,LXN19,LXQ19,LXU19,LXV19,LXX19,LXZ19,LXF20,LXG20,LXH20,LXJ20,LXK20,LXM20,LXN20,LXQ20,LXU20,LXV20,LXX20,LXZ20,LXF21,LXG21,LXH21,LXJ21,LXK21,LXM21,LXN21,LXQ21,LXU21,LXV21,LXX21,LXZ21,LXF22,LXG22,LXH22,LXJ22,LXK22,LXM22,LXN22,LXQ22,LXU22,LXV22,LXX22,LXZ22,LXF23,LXG23,LXH23,LXJ23,LXK23,LXM23,LXN23,LXQ23,LXU23,LXV23,LXX23,LXZ23,PnL,PNL,IS_ROLLING,Day
0,1998-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,
1,1998-08-26,-15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
2,1998-08-27,-57.5,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
3,1998-08-28,-60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
4,1998-08-31,-60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
5,1998-09-01,65.0,-65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
6,1998-09-02,20.0,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
7,1998-09-03,40.0,-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
8,1998-09-04,20.0,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
9,1998-09-07,21.25,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.25,,
